sample_id,file,pol,band_class,benchmark_split,gold_annotation_label,artifact_type,condition,annotator,comb_present,starlink_like,mask_issue,urgent_followup,decision_time_sec,reviewer_confidence,review_notes
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,zen.LST.baseline.0_0.sum.uvh5,xx,high_band,positive_set,positive,,A,annotator1,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,zen.LST.baseline.0_0.sum.uvh5,xx,high_band,positive_set,positive,,B,annotator1,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,zen.LST.baseline.0_0.sum.uvh5,xx,high_band,positive_set,positive,,A,annotator2,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|xx|high_band,zen.LST.baseline.0_0.sum.uvh5,xx,high_band,positive_set,positive,,B,annotator2,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,zen.LST.baseline.0_0.sum.uvh5,yy,high_band,positive_set,positive,,A,annotator1,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,zen.LST.baseline.0_0.sum.uvh5,yy,high_band,positive_set,positive,,B,annotator1,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,zen.LST.baseline.0_0.sum.uvh5,yy,high_band,positive_set,positive,,A,annotator2,,,,,,,
zen.LST.baseline.0_0.sum.uvh5|yy|high_band,zen.LST.baseline.0_0.sum.uvh5,yy,high_band,positive_set,positive,,B,annotator2,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,zen.LST.baseline.0_1.sum.uvh5,xx,high_band,positive_set,ambiguous,,A,annotator1,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,zen.LST.baseline.0_1.sum.uvh5,xx,high_band,positive_set,ambiguous,,B,annotator1,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,zen.LST.baseline.0_1.sum.uvh5,xx,high_band,positive_set,ambiguous,,A,annotator2,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|xx|high_band,zen.LST.baseline.0_1.sum.uvh5,xx,high_band,positive_set,ambiguous,,B,annotator2,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,zen.LST.baseline.0_1.sum.uvh5,yy,high_band,positive_set,positive,,A,annotator1,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,zen.LST.baseline.0_1.sum.uvh5,yy,high_band,positive_set,positive,,B,annotator1,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,zen.LST.baseline.0_1.sum.uvh5,yy,high_band,positive_set,positive,,A,annotator2,,,,,,,
zen.LST.baseline.0_1.sum.uvh5|yy|high_band,zen.LST.baseline.0_1.sum.uvh5,yy,high_band,positive_set,positive,,B,annotator2,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,zen.LST.baseline.0_2.sum.uvh5,xx,low_band,hard_negative_set,negative,instrumental_comb,A,annotator1,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,zen.LST.baseline.0_2.sum.uvh5,xx,low_band,hard_negative_set,negative,instrumental_comb,B,annotator1,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,zen.LST.baseline.0_2.sum.uvh5,xx,low_band,hard_negative_set,negative,instrumental_comb,A,annotator2,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|xx|low_band,zen.LST.baseline.0_2.sum.uvh5,xx,low_band,hard_negative_set,negative,instrumental_comb,B,annotator2,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,zen.LST.baseline.0_2.sum.uvh5,yy,low_band,hard_negative_set,negative,channelization_imprint,A,annotator1,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,zen.LST.baseline.0_2.sum.uvh5,yy,low_band,hard_negative_set,negative,channelization_imprint,B,annotator1,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,zen.LST.baseline.0_2.sum.uvh5,yy,low_band,hard_negative_set,negative,channelization_imprint,A,annotator2,,,,,,,
zen.LST.baseline.0_2.sum.uvh5|yy|low_band,zen.LST.baseline.0_2.sum.uvh5,yy,low_band,hard_negative_set,negative,channelization_imprint,B,annotator2,,,,,,,
zen.LST.baseline.0_3.sum.uvh5|xx|low_band,zen.LST.baseline.0_3.sum.uvh5,xx,low_band,hard_negative_set,ambiguous,,A,annotator1,,,,,,,
zen.LST.baseline.0_3.sum.uvh5|xx|low_band,zen.LST.baseline.0_3.sum.uvh5,xx,low_band,hard_negative_set,ambiguous,,B,annotator1,,,,,,,
zen.LST.baseline.0_3.sum.uvh5|xx|low_band,zen.LST.baseline.0_3.sum.uvh5,xx,low_band,hard_negative_set,ambiguous,,A,annotator2,,,,,,,
